제조사,모델명,모델번호,통신사,요금제,월요금제,기기변경지원금,번호이동지원금,공시일,섹션
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,KT,5G 슬림 21GB,58000,319000,319000,2025-06-05,C01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,LG,,,,,,C01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,SK,,,,,,D01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,KT,5G 심플 70GB,65000,355000,355000,2025-06-05,D01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,LG,,,,,,D01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,SK,,,,,,E01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,KT,5G 심플 110GB,69000,377000,377000,2025-06-05,E01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,LG,,,,,,E01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,SK,,,,,,F01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,KT,초이스 스페셜,110000,500000,500000,2025-06-05,F01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,LG,,,,,,F01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,SK,,,,,,G01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,KT,초이스 프리미엄,130000,500000,500000,2025-06-05,G01
삼성전자,[5G] 갤럭시 S25 엣지 (512G) ONE,SM-S937N0512,LG,,,,,,G01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,SK,,,,,,A01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,KT,,,,,,A01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,LG,5G 미니,37000,318000,318000,2025-05-09,A01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,SK,,,,,,B01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,KT,,,,,,B01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,LG,5G 슬림+,47000,335000,335000,2025-05-09,B01
삼성전자,[5G] 갤럭시 버디4,SM-A166L,SK,,,,,,C01
